id,prophetId,courseName,horoscopeMethodId,horoscopeSector,durationMin,price,isActive,createdAt,updatedAt
9f7f18a5-f62b-48,d5273f14-d499-4a,Multi-channeled even-keeled extranet,7,study,30,638.18,True,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
e5f8e444-7a81-44,a31cc505-4e90-48,Monitored coherent application,5,work,45,643.06,True,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
79ede832-9b78-46,7f6b4815-1b8f-4c,Quality-focused didactic help-desk,10,work,45,737.27,True,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
67af0d56-f991-41,14138ea6-fc19-4c,Business-focused fresh-thinking service-desk,1,family,30,891.28,True,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
46b6f1d4-ff62-41,0ef72fb9-a3c6-46,Monitored interactive process improvement,8,money,60,614.57,True,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
dc4e79b6-af9d-46,22b1588a-2a5b-46,Automated next generation implementation,10,work,30,915.28,True,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
b52bd73b-c3ff-4d,562ec9b0-fc33-45,Open-architected heuristic firmware,8,study,60,744.38,False,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
af5efef9-398c-49,39abaff9-ae3b-4d,Customizable object-oriented alliance,3,study,60,570.04,False,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
e7cbc6f4-a602-44,313c2d1a-5c04-41,Profound systematic productivity,4,work,60,455.85,False,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
b288573b-9c64-4e,ac0d5941-8612-4f,Expanded object-oriented hierarchy,3,luck,60,845.43,True,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
efc76f62-c60c-40,297ac75f-9ced-40,Monitored logistical migration,9,love,60,581.2,True,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
82927e27-780b-43,6223db46-816f-49,Horizontal grid-enabled neural-net,8,luck,30,972.16,True,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
4941efd5-171e-41,405e722f-93f4-48,Re-engineered bi-directional workforce,2,family,30,415.86,False,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
6dc34c82-4b44-4f,5947520e-9b63-4b,Innovative attitude-oriented Graphical User Interface,7,love,30,409.42,True,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
b76e56df-39b0-4d,d4fc718f-554b-41,Virtual full-range open system,6,work,45,335.44,True,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
558dae3e-ec22-44,dc1f17c2-7de6-4a,Configurable explicit encryption,4,family,30,407.19,True,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
25d6ceaf-d211-40,313c2d1a-5c04-41,Face-to-face full-range time-frame,6,family,45,773.68,True,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
aeb4a949-d663-43,9c58e4fd-e9d7-4f,Innovative logistical protocol,9,love,30,591.38,False,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
d99c0769-92c6-46,a30174b8-6960-45,Multi-layered executive encoding,3,money,30,458.48,False,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
0276fd7e-8c1b-4c,7ae7c921-b2e0-42,Cross-platform optimizing implementation,8,money,45,878.84,True,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
f2b9e56f-7c09-42,8c40c758-58c2-44,Versatile next generation algorithm,2,family,45,932.82,True,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
4f6b0356-2994-4d,8c40c758-58c2-44,Right-sized multimedia help-desk,3,work,30,841.62,True,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
cae3d62d-5103-4f,d5273f14-d499-4a,Enhanced human-resource synergy,8,money,45,862.93,True,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
6107d378-e997-4e,f8cb1f0e-0269-4b,Down-sized client-server solution,8,family,45,839.04,True,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
5463b3e2-c269-4b,297ac75f-9ced-40,Ameliorated 4thgeneration complexity,7,work,45,982.82,True,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
afb26a9d-e4fc-44,68c348c0-1933-48,Configurable responsive concept,1,family,45,485.94,True,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
069e3cf9-ace2-43,f42a236a-9304-4a,Cross-platform demand-driven core,9,work,60,831.21,True,2025-08-23T15:28:16.091Z,2025-08-23T15:28:16.091Z
