id,account_id,birth_date,birth_time,zodiac_sign,created_at,updated_at,is_public
feedd8cc4c654428,06b0b62607c24ff7,1997-03-11,13:46:00,AQUARIUS,2025-08-27T04:19:12.359035+00:00,2025-08-27T04:19:12.359035+00:00,True
8985ca4985284cfa,286042de65fa456d,1958-12-24,19:56:00,PISCES,2025-08-27T04:19:12.359035+00:00,2025-08-27T04:19:12.359035+00:00,True
67a8ad41eb7a4b40,3d7bd73d174343b2,1964-01-21,14:52:00,TAURUS,2025-08-27T04:19:12.359035+00:00,2025-08-27T04:19:12.359035+00:00,False
db55be70381d4cc6,56b01ecd602f4cf6,1959-02-08,04:47:00,CAPRICORN,2025-08-27T04:19:12.359035+00:00,2025-08-27T04:19:12.359035+00:00,True
819b52a2535448ed,38ec5eb33d934069,1997-12-09,01:52:00,PISCES,2025-08-27T04:19:12.359035+00:00,2025-08-27T04:19:12.359035+00:00,True
e786b06da0ba44f4,5e4e202b96f24bbb,1994-12-25,22:23:00,LIBRA,2025-08-27T04:19:12.359035+00:00,2025-08-27T04:19:12.359035+00:00,True
0d9d2b132c0549d0,ee5b6ae01bff4956,1988-05-06,23:27:00,AQUARIUS,2025-08-27T04:19:12.359035+00:00,2025-08-27T04:19:12.359035+00:00,True
9ba6a141b5a14ec5,f651001bed6749c8,1991-02-26,19:49:00,AQUARIUS,2025-08-27T04:19:12.359035+00:00,2025-08-27T04:19:12.359035+00:00,False
2d8e45f13ddf44cc,1c1acc79d6b049d2,1971-05-26,14:57:00,ARIES,2025-08-27T04:19:12.359035+00:00,2025-08-27T04:19:12.359035+00:00,True
b14f160e5e7d4a4e,4e1de71b6f6a4728,2001-12-25,21:58:00,PISCES,2025-08-27T04:19:12.359035+00:00,2025-08-27T04:19:12.359035+00:00,True
72fc82d9dcc44be7,41ab26f915224a4d,1990-04-11,18:46:00,GEMINI,2025-08-27T04:19:12.359035+00:00,2025-08-27T04:19:12.359035+00:00,False
af8b4db6af844070,bb116c603517410c,1973-10-19,10:55:00,CANCER,2025-08-27T04:19:12.359035+00:00,2025-08-27T04:19:12.359035+00:00,False
ccdbca353d6a4be6,4fb853bc81d74933,1960-02-03,15:03:00,LIBRA,2025-08-27T04:19:12.359035+00:00,2025-08-27T04:19:12.359035+00:00,False
3429598e0beb4f53,e6e116ed606042e1,2000-05-07,09:08:00,GEMINI,2025-08-27T04:19:12.359035+00:00,2025-08-27T04:19:12.359035+00:00,True
accedd8653ec4d56,9a8a085059d04cbf,1977-06-20,10:03:00,CANCER,2025-08-27T04:19:12.359035+00:00,2025-08-27T04:19:12.359035+00:00,True
938ab4596e2240a6,bc47c765fc6248b0,2003-09-04,23:52:00,CAPRICORN,2025-08-27T04:19:12.359035+00:00,2025-08-27T04:19:12.359035+00:00,True
c391444fcd854ba7,7737462ded0f4549,1980-08-06,23:41:00,AQUARIUS,2025-08-27T04:19:12.359035+00:00,2025-08-27T04:19:12.359035+00:00,False
dbba0e2e8b93476e,e94e0efc5d554fc6,1955-11-14,20:23:00,AQUARIUS,2025-08-27T04:19:12.359035+00:00,2025-08-27T04:19:12.359035+00:00,False
effb5edb23654e56,aea06b2cedb34523,1989-06-16,00:23:00,CAPRICORN,2025-08-27T04:19:12.359035+00:00,2025-08-27T04:19:12.359035+00:00,False
