id,booking_id,status,created_at,updated_at
3ad126e3f2fb4ce1,6490e30f4d814c83,COMPLETED,2025-08-27T08:16:26.304361+00:00,2025-08-27T08:16:26.304361+00:00
a7c33fb1aef4454c,75a09e41fefa4802,PROCESSING,2025-08-27T08:16:26.304361+00:00,2025-08-27T08:16:26.304361+00:00
b38667f22c6941bd,a33ae13b4b3e452e,PROCESSING,2025-08-27T08:16:26.304361+00:00,2025-08-27T08:16:26.304361+00:00
3b45ef73122f468c,a79bbfe382944ebf,FAILED,2025-08-27T08:16:26.304361+00:00,2025-08-27T08:16:26.304361+00:00
350846097afe4bd8,83c798d569c1499a,COMPLETED,2025-08-27T08:16:26.304361+00:00,2025-08-27T08:16:26.304361+00:00
bef2f3c31a154046,d496bec0d1584379,PROCESSING,2025-08-27T08:16:26.304361+00:00,2025-08-27T08:16:26.304361+00:00
ec57ba59d8294b5c,fe3d58c00a3e4adb,COMPLETED,2025-08-27T08:16:26.304361+00:00,2025-08-27T08:16:26.304361+00:00
def746ff533843c6,4c7efd80f31c4fe0,COMPLETED,2025-08-27T08:16:26.304361+00:00,2025-08-27T08:16:26.304361+00:00
99134e13d7a64e31,ce40b0193a494bd5,COMPLETED,2025-08-27T08:16:26.304361+00:00,2025-08-27T08:16:26.304361+00:00
d2a9941da0bf4281,46a1017b514c49e9,PROCESSING,2025-08-27T08:16:26.304361+00:00,2025-08-27T08:16:26.304361+00:00
8513d0a5c01445d9,a70708cef9f44adf,FAILED,2025-08-27T08:16:26.304361+00:00,2025-08-27T08:16:26.304361+00:00
1d6e142bb0f54490,c1225aae543b41bd,FAILED,2025-08-27T08:16:26.304361+00:00,2025-08-27T08:16:26.304361+00:00
febad5f230a24f63,58bb4630d6bf4c46,PROCESSING,2025-08-27T08:16:26.304361+00:00,2025-08-27T08:16:26.304361+00:00
418da99d04d44547,5b07d5bea422474e,FAILED,2025-08-27T08:16:26.304361+00:00,2025-08-27T08:16:26.304361+00:00
f700e77fa0594f11,c0a2bd6d053d411b,FAILED,2025-08-27T08:16:26.304361+00:00,2025-08-27T08:16:26.304361+00:00
0e62709fc43549d8,7a87ae00d6e44852,FAILED,2025-08-27T08:16:26.304361+00:00,2025-08-27T08:16:26.304361+00:00
ef4c85c3db1543f7,ccb65e93cf934d0e,FAILED,2025-08-27T08:16:26.304361+00:00,2025-08-27T08:16:26.304361+00:00
e87e45027e684444,287647b23f624d79,FAILED,2025-08-27T08:16:26.304361+00:00,2025-08-27T08:16:26.304361+00:00
a50af92ac0bc41cc,c4f4782884314ccf,PROCESSING,2025-08-27T08:16:26.304361+00:00,2025-08-27T08:16:26.304361+00:00
9b27d399554e41c6,148a528eabe74c93,COMPLETED,2025-08-27T08:16:26.304361+00:00,2025-08-27T08:16:26.304361+00:00
ebe06c05823049ca,56a16f569c4c4ee7,FAILED,2025-08-27T08:16:26.304361+00:00,2025-08-27T08:16:26.304361+00:00
110ea937114e4d41,784184e67d574639,PROCESSING,2025-08-27T08:16:26.304361+00:00,2025-08-27T08:16:26.304361+00:00
